Year,C,Y
1965,89,113
1966,97,125
1967,106,139
1968,115,157
1969,126,177
1970,135,195
1971,143,205
1972,155,222
1973,167,240
1974,167,237
1975,177,244
1976,182,254
1977,190,265
1978,200,279
1979,212,294
1980,215,302
1981,220,311
1982,229,320
1983,237,325
1984,243,335
1985,251,352
1986,259,363
1987,270,376
1988,282,402
1989,295,423
1990,307,445
1991,317,460
1992,325,464
1993,331,466
1994,340,471
1995,348,480
1996,357,497
1997,360,506
1998,361,500
1999,364,500
2000,370,511
2001,375,513
2002,379,511
2003,381,518
