Year,lnY,lnM,dlnY,dlnM
1982,5.763,2.9,NA,NA
1983,5.779,2.869,0.016,-0.031
1984,5.81,2.967,0.031,0.098
1985,5.86,2.978,0.05,0.011
1986,5.889,2.994,0.029,0.016
1987,5.926,3.121,0.037,0.127
1988,5.991,3.291,0.065,0.17
1989,6.043,3.447,0.052,0.156
1990,6.094,3.523,0.051,0.076
1991,6.127,3.512,0.033,-0.011
1992,6.136,3.505,0.009,-0.007
1993,6.139,3.491,0.003,-0.014
1994,6.15,3.567,0.011,0.076
1995,6.169,3.692,0.019,0.125
1996,6.194,3.815,0.025,0.123
1997,6.208,3.822,0.014,0.007
1998,6.19,3.752,-0.018,-0.07
1999,6.188,3.788,-0.002,0.036
2000,6.217,3.87,0.029,0.082
2001,6.221,3.879,0.004,0.009
2002,6.222,3.888,0.001,0.009
2003,6.24,3.926,0.018,0.038
2004,6.262,4.007,0.022,0.081
