i,X,Y,L,lnX,lnY,XL,YL
1,275515,5331,2867,12.52639735,8.581294117,96.09870945,1.859434949
2,841910,27838,7477,13.6434284,10.23415727,112.5999733,3.723150996
3,462744,14086,3799,13.04492926,9.552936675,121.8067913,3.707817847
4,302413,8246,3112,12.61954891,9.017483513,97.17641388,2.649742931
5,78722,1257,899,11.27367794,7.136483209,87.56618465,1.398220245
6,434405,6984,4023,12.98173256,8.851377098,107.9803629,1.736017897
7,109453,2060,1089,11.60325051,7.630461262,100.5078053,1.89164371
8,308198,5499,3110,12.63849771,8.612321537,99.09903537,1.768167203
9,304203,4081,3168,12.62545052,8.314097335,96.02367424,1.288194444
10,41041,836,429,10.62232685,6.728628613,95.66666667,1.948717949
11,104829,1789,1035,11.56008573,7.489412084,101.284058,1.728502415
12,78562,1707,1400,11.2716434,7.442492723,56.11571429,1.219285714
13,76708,1290,773,11.24776128,7.162397497,99.23415265,1.668822768
14,85980,1515,740,11.36186999,7.323170718,116.1891892,2.047297297
15,20414,599,185,9.923976219,6.395261598,110.3459459,3.237837838
16,24598,355,266,10.11042042,5.872117789,92.47368421,1.334586466
17,126004,2537,998,11.74406893,7.83873756,126.256513,2.542084168
18,22213,498,449,10.00843298,6.210600077,49.47216036,1.109131403
19,61029,819,605,11.01910444,6.708084084,100.8743802,1.353719008
20,49462,837,537,10.80895998,6.72982407,92.10800745,1.558659218
21,59586,862,901,10.99517593,6.759255271,66.13318535,0.956714761
22,833871,22623,7904,13.63383399,10.02672237,105.4998735,2.86222166
