Year,Y,M,lnY,lnM
1982,318,18,5.762051383,2.890371758
1983,323,18,5.777652323,2.890371758
1984,334,19,5.811140993,2.944438979
1985,351,20,5.860786223,2.995732274
1986,361,20,5.888877958,2.995732274
1987,375,23,5.926926026,3.135494216
1988,400,27,5.991464547,3.295836866
1989,421,31,6.042632834,3.433987204
1990,443,34,6.09356977,3.526360525
1991,458,34,6.126869184,3.526360525
1992,462,33,6.135564891,3.496507561
1993,464,33,6.139884552,3.496507561
1994,469,35,6.150602768,3.555348061
1995,478,40,6.169610732,3.688879454
1996,490,45,6.194405391,3.80666249
1997,497,46,6.208590026,3.828641396
1998,488,43,6.190315406,3.761200116
1999,487,44,6.188264123,3.784189634
2000,501,48,6.216606101,3.871201011
2001,503,48,6.22059017,3.871201011
2002,504,49,6.222576268,3.891820298
2003,513,51,6.240275845,3.931825633
2004,524,55,6.261491684,4.007333185
