i,Y,X1,X2,X3,X4,X5,X6,X7,X8
1,208.7,312.8,7.7,6.5,24.2,300,322.1,278.1,92.9
2,174,686.9,14,8.4,22.3,367,434.7,273.6,90.3
3,206.5,497.6,13.7,6.2,32.5,397,177.3,387.5,92.1
4,173.2,264.9,6.2,6.9,13.6,372,581.9,502.1,89.6
5,182,471.2,11.1,6.1,38.4,383,213.4,317.3,88.6
6,186.1,375,10.9,4.8,28,405,597.8,524.8,93
7,138.8,267.3,9.2,6,27.7,386,368,481.3,90.1
8,171,275.9,7.4,5.9,17.8,446,423.6,1253.7,90.4
9,126.6,303.1,6.8,5.4,22.8,411,630.2,1305.2,91.9
10,131.4,369.5,6.5,5.7,18.8,367,679.8,1725.9,89.3
11,194.8,212.8,2.2,5.7,20.8,234,1157.1,1134.6,94.2
12,160.5,211.1,3.7,5.6,21.1,265,930.8,1207.2,92
13,118.1,284.2,0.4,5.6,29.3,145,3396.3,1974.8,100
14,170.9,172.9,1,5.5,9.4,184,2410.9,1312.8,99.2
15,199.7,588.7,7.5,4.8,25.9,346,408.1,446.7,93
16,194.1,554.9,4.3,4.4,54,394,580.3,952.3,91.2
