Year,lnY,lnM,D,DlnY
1982,5.763,2.9,0,0
1983,5.779,2.869,0,0
1984,5.81,2.967,0,0
1985,5.86,2.978,0,0
1986,5.889,2.994,0,0
1987,5.926,3.121,0,0
1988,5.991,3.291,0,0
1989,6.043,3.447,0,0
1990,6.094,3.523,0,0
1991,6.127,3.512,0,0
1992,6.136,3.505,0,0
1993,6.139,3.491,0,0
1994,6.15,3.567,1,6.15
1995,6.169,3.692,1,6.169
1996,6.194,3.815,1,6.194
1997,6.208,3.822,1,6.208
1998,6.19,3.752,1,6.19
1999,6.188,3.788,1,6.188
2000,6.217,3.87,1,6.217
2001,6.221,3.879,1,6.221
2002,6.222,3.888,1,6.222
2003,6.24,3.926,1,6.24
2004,6.262,4.007,1,6.262
